IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
43.129.171.137,80,80,false,HKG,Asia Pacific,Hong Kong,18,0.00
8.218.146.204,8080,8080,false,HKG,Asia Pacific,Hong Kong,4,0.00
8.217.221.165,2086,2086,false,HKG,Asia Pacific,Hong Kong,6,0.00
8.218.201.73,80,80,false,HKG,Asia Pacific,Hong Kong,24,0.00
103.44.255.81,443,443,true,HKG,Asia Pacific,Hong Kong,15,0.00
152.32.252.175,8969,443,true,HKG,Asia Pacific,Hong Kong,8,0.00
16.162.37.167,443,443,true,HKG,Asia Pacific,Hong Kong,13,0.00
8.217.239.116,2095,2095,false,HKG,Asia Pacific,Hong Kong,5,0.00
8.218.127.249,2096,0,true,HKG,Asia Pacific,Hong Kong,4,0.00
58.82.242.199,11781,443,true,HKG,Asia Pacific,Hong Kong,18,0.00
58.82.242.199,36600,443,true,HKG,Asia Pacific,Hong Kong,11,0.00
58.82.242.199,13973,443,true,HKG,Asia Pacific,Hong Kong,25,0.00
58.82.242.199,36299,443,true,HKG,Asia Pacific,Hong Kong,2,0.00
154.23.185.52,34237,2096,true,HKG,Asia Pacific,Hong Kong,24,0.00
8.217.193.25,2082,2082,false,HKG,Asia Pacific,Hong Kong,6,0.00
152.32.130.150,802,443,true,HKG,Asia Pacific,Hong Kong,20,0.00
8.212.106.89,443,443,true,HKG,Asia Pacific,Hong Kong,10,0.00
118.193.34.138,443,443,true,HKG,Asia Pacific,Hong Kong,12,0.00
8.217.239.116,8080,8080,false,HKG,Asia Pacific,Hong Kong,7,0.00
8.218.201.73,8880,8880,false,HKG,Asia Pacific,Hong Kong,5,0.00
52.175.21.95,2053,443,true,HKG,Asia Pacific,Hong Kong,17,0.00
39.126.160.150,13816,443,true,HKG,Asia Pacific,Hong Kong,23,0.00
13.125.218.78,443,443,true,HKG,Asia Pacific,Hong Kong,24,0.00
193.134.210.61,34237,2096,true,HKG,Asia Pacific,Hong Kong,9,0.00
8.218.188.129,2052,2052,false,HKG,Asia Pacific,Hong Kong,3,0.00
8.217.239.116,80,80,false,HKG,Asia Pacific,Hong Kong,24,0.00
8.217.221.165,2082,2082,false,HKG,Asia Pacific,Hong Kong,7,0.00
8.218.211.17,2052,2052,false,HKG,Asia Pacific,Hong Kong,9,0.00
8.218.201.73,2086,2086,false,HKG,Asia Pacific,Hong Kong,0,0.00
47.243.162.49,8443,8443,true,HKG,Asia Pacific,Hong Kong,19,0.00
8.218.127.249,2082,2082,false,HKG,Asia Pacific,Hong Kong,14,0.00
47.76.33.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,15,0.00
43.128.148.134,443,443,true,HKG,Asia Pacific,Hong Kong,16,0.00
8.217.193.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,8,0.00
8.218.127.249,2087,2087,true,HKG,Asia Pacific,Hong Kong,18,0.00
8.217.193.25,2086,2086,false,HKG,Asia Pacific,Hong Kong,18,0.00
8.218.52.115,80,80,false,HKG,Asia Pacific,Hong Kong,20,0.00
8.218.52.115,2086,2086,false,HKG,Asia Pacific,Hong Kong,15,0.00
39.126.160.150,35563,443,true,HKG,Asia Pacific,Hong Kong,24,0.00
8.217.207.60,80,80,false,HKG,Asia Pacific,Hong Kong,4,0.00
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,14,0.00
43.129.171.137,443,443,true,HKG,Asia Pacific,Hong Kong,14,0.00
103.234.53.204,41473,0,true,HKG,Asia Pacific,Hong Kong,7,0.00
