IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.159.210,2082,2082,false,HKG,Asia Pacific,Hong Kong,22,0.00
8.217.221.165,8880,8880,false,HKG,Asia Pacific,Hong Kong,22,0.00
8.218.188.129,8880,8880,false,HKG,Asia Pacific,Hong Kong,16,0.00
8.217.149.28,2095,2095,false,HKG,Asia Pacific,Hong Kong,19,0.00
8.217.221.165,2086,2086,false,HKG,Asia Pacific,Hong Kong,23,0.00
8.217.221.165,2095,2095,false,HKG,Asia Pacific,Hong Kong,21,0.00
8.217.149.28,8080,8080,false,HKG,Asia Pacific,Hong Kong,19,0.00
8.218.181.189,80,80,false,HKG,Asia Pacific,Hong Kong,20,0.00
103.70.59.32,443,443,true,HKG,Asia Pacific,Hong Kong,15,0.00
39.126.44.39,12695,80,false,HKG,Asia Pacific,Hong Kong,20,0.00
39.126.44.39,22204,80,false,ICN,Asia Pacific,Seoul,18,0.00
8.217.159.210,80,80,false,HKG,Asia Pacific,Hong Kong,21,0.00
8.217.49.34,2052,2052,false,HKG,Asia Pacific,Hong Kong,18,0.00
8.218.201.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,17,0.00
8.222.197.251,8880,8880,false,SIN,Asia Pacific,Singapore,21,0.00
47.245.113.117,2095,2095,false,SIN,Asia Pacific,Singapore,22,0.00
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,19,0.00
8.217.49.34,8080,8080,false,HKG,Asia Pacific,Hong Kong,21,0.00
8.218.211.17,80,80,false,HKG,Asia Pacific,Hong Kong,0,0.00
8.217.239.116,2052,2052,false,HKG,Asia Pacific,Hong Kong,17,0.00
8.217.239.116,8880,8880,false,HKG,Asia Pacific,Hong Kong,23,0.00
8.217.239.116,2086,2086,false,HKG,Asia Pacific,Hong Kong,23,0.00
8.217.193.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,22,0.00
8.218.52.115,2052,2052,false,HKG,Asia Pacific,Hong Kong,19,0.00
8.218.52.115,8880,8880,false,HKG,Asia Pacific,Hong Kong,21,0.00
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,21,0.00
8.218.146.204,2052,2052,false,HKG,Asia Pacific,Hong Kong,18,0.00
152.32.130.150,802,443,true,HKG,Asia Pacific,Hong Kong,18,0.00
﻿IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
39.126.44.39,31035,80,false,HKG,Asia Pacific,Hong Kong,5,0.00
39.126.44.39,28916,80,false,ICN,Asia Pacific,Seoul,9,0.00
﻿IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.83.201,8880,8880,false,SIN,Asia Pacific,Singapore,22,0.00
8.219.60.130,2095,2095,false,SIN,Asia Pacific,Singapore,0,0.00
8.222.211.16,2086,2086,false,SIN,Asia Pacific,Singapore,22,0.00
8.219.4.122,80,80,false,SIN,Asia Pacific,Singapore,0,0.00
8.219.72.50,80,80,false,SIN,Asia Pacific,Singapore,0,0.00
8.222.164.209,80,80,false,SIN,Asia Pacific,Singapore,22,0.00
8.219.4.122,8080,8080,false,SIN,Asia Pacific,Singapore,21,0.00
8.222.180.242,2086,2086,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.183.31,80,80,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.183.31,8080,8080,false,SIN,Asia Pacific,Singapore,17,0.00
47.236.144.48,8880,8880,false,SIN,Asia Pacific,Singapore,0,0.00
47.236.7.246,8080,8080,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.170.54,2052,2052,false,SIN,Asia Pacific,Singapore,0,0.00
8.219.173.195,8880,8880,false,SIN,Asia Pacific,Singapore,22,0.00
47.236.94.113,2086,2086,false,SIN,Asia Pacific,Singapore,21,0.00
47.245.113.117,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.00
47.245.93.74,8880,8880,false,SIN,Asia Pacific,Singapore,21,0.00
8.219.60.130,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.6.157,2052,2052,false,SIN,Asia Pacific,Singapore,22,0.00
8.219.72.50,2086,2086,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.180.242,8080,8080,false,SIN,Asia Pacific,Singapore,22,0.00
8.219.72.50,2052,2052,false,SIN,Asia Pacific,Singapore,17,0.00
47.236.7.246,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
47.236.170.54,8080,8080,false,SIN,Asia Pacific,Singapore,20,0.00
47.236.7.246,2095,2095,false,SIN,Asia Pacific,Singapore,16,0.00
47.245.86.18,8880,8880,false,SIN,Asia Pacific,Singapore,22,0.00
8.219.248.47,8080,8080,false,SIN,Asia Pacific,Singapore,20,0.00
47.245.110.13,80,80,false,SIN,Asia Pacific,Singapore,0,0.00
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,22,0.00
8.219.152.195,2052,2052,false,SIN,Asia Pacific,Singapore,23,0.00
﻿IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.92.9.63,2052,2052,false,LAX,North America,Los Angeles,38,0.00
154.92.9.6,2052,2052,false,LAX,North America,Los Angeles,33,0.00
154.92.9.63,2082,2082,false,LAX,North America,Los Angeles,34,0.00
154.92.9.5,2052,2052,false,LAX,North America,Los Angeles,38,0.00
104.249.173.159,60999,80,false,SJC,North America,San Jose,37,0.00
